ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
1573229385,The Frog King: A Love Story,Adam Davies,2002,Riverhead Books
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics
014016930X,Angle of Repose (Contemporary American Fiction),Wallace Stegner,1992,Penguin Books
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co
038001503X,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970,Avon Books
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins
067101420X,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket
3257061269,Der Alchimist.,Paulo Coelho,2003,"Diogenes Verlag, ZÃ?Â¼rich"
3499108518,Der Fanger Im Roggen,Jerome D. Salinger,1966,Rowohlt Tb.
000649840X,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk
067102535X,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket
1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books
067168390X,Lonesome Dove,Larry McMurtry,1988,Pocket
051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,Jove Books
044990928X,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,1994,Ballantine Books
038531258X,Cold Sassy Tree,Olive Ann Burns,1986,Delta
006092988X,A Tree Grows in Brooklyn,Betty Smith,1998,Perennial
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001,Delta
037570504X,"Breath, Eyes, Memory",Edwidge Danticat,1998,Vintage Books USA
1558744606,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
014131088X,Speak,Laurie Halse Anderson,2001,Speak
031298250X,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002,St. Martin's Paperbacks
006109594X,Nimitz Class,Patrick Robinson,1998,HarperTorch
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books
038533656X,Apocalipstick,SUE MARGOLIS,2003,Delta
038039586X,Watership Down,Richard George Adams,1975,Harpercollins
3499232871,Herzsprung,Ildiko Kurthy,2003,Distribooks Inc
037348397X,The Donovan Legacy,Nora Roberts,1999,Harlequin
082176828X,What You Wish for,Fern Michaels,2001,Zebra Books
031231616X,I Capture the Castle,Dodie Smith,2003,St. Martin's Griffin
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co
3518368540,Homo Faber,Max Frisch,0,Distribooks Int'l+inc
1853260312,"20,000 Leagues Under the Sea (Wordsworth Collection)",Jules Verne,1998,NTC/Contemporary Publishing Company
034543076X,Manifold: Time (Manifold (Paperback)),Stephen Baxter,2000,Del Rey Books
037542217X,The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003,Pantheon
039914255X,Eat Right for Your Type,Peter J. D'Adamo,1996,G. P. Putnam's Sons
031215125X,The Far Pavilions,M. M. Kaye,1997,St. Martin's Press
076790382X,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,2000,Broadway Books
1573221775,My Dream of You,Nuala O'Faolain,2001,Riverhead Books
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA
1558532161,Life's Little Instruction Book; Volume II,H. Jackson Brown,1993,Thomas Nelson Inc
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books
3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc
067169071X,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket
042513301X,A Cold Day for Murder,Dana Stabenow,1992,Berkley Publishing Group
038548951X,Sister of My Heart,Chitra Banerjee Divakaruni,2000,Anchor Pub
051512902X,After Dark,Jayne Castle,2000,Jove Books
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch
1558747028,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications
3442424623,Die Bildhauerin.,Minette Walters,1996,Goldmann
080410882X,Dinner at the Homesick Restaurant,Anne Tyler,1992,Ivy Books
1578562325,"All Together in One Place: A Novel of Kinship, Courage, and Faith (Kirkpatrick, Jane. Kinship and Courage Historical Series, Bk. 1.)",Jane Kirkpatrick,2000,Waterbrook Press
156836010X,Having Our Say: The Delany Sisters' First 100 Years,Sarah Louise Delany,1993,Kodansha America
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books
078686351X,Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,1997,Hyperion Books
020530902X,"The Elements of Style, Fourth Edition",William Strunk Jr.,2000,Pearson Higher Education
880781210X,iI Paradiso Degli Orchi,Daniel Pennac,1994,Universale Economica Feltrinelli
1561706213,Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,1998,Hay House
044020562X,One,Richard Bach,1989,Dell
1573229326,How to Be Good,Nick Hornby,2002,Riverhead Books
068483376X,Succulent Wild Woman,Sark,1997,Fireside
3423105518,Name Der Rose,Umberto Eco,0,Distribooks Int'l+inc
081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks
055356160X,Cry Wolf,TAMI HOAG,1993,Bantam
051512463X,The Cat Who Sang for the Birds (Cat Who... (Paperback)),Lilian Jackson Braun,1999,Jove Books
1551668521,Reckless Encounter,Rosemary Rogers,2001,Mira
1551668920,A Season Of Miracles,Heather Graham,2002,Mira
038081479X,Heart of a Warrior,Johanna Lindsey,2002,Avon
080411935X,Standing in the Rainbow,FANNIE FLAGG,2003,Ballantine Books
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books
055329461X,The Difference Engine,WILLIAM GIBSON,1992,Spectra
055357549X,Holy Fire: A Novel (Bantam Spectra Book),Bruce Sterling,1997,Bantam Books
014043187X,The Picture of Dorian Gray (Penguin Classic),Oscar Wilde,1985,Penguin Books
014018869X,Cold Comfort Farm,Stella Gibbons,1995,Penguin Books
3257229534,Der Vorleser,Bernhard Schlink,1999,Diogenes Verlag AG
034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books
055327418X,"Startide Rising (The Uplift Saga, Book 2)",David Brin,1993,Spectra Books
034539657X,Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books
034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
1844262553,Free,Paul Vincent,2003,Upfront Publishing
3257227809,Venezianisches Finale. Commissario Brunettis erster Fall.,Donna Leon,1995,Diogenes Verlag
344244392X,Das Tagebuch Der Bridget Jones,Helen Fielding,2000,"Wilhelm Goldmann Verlag, GmbH"
3423203668,Die fÃ?Â¼nfte Frau.,Henning Mankell,2000,Dtv
3423204206,Die falsche FÃ?Â¤hrte.,Henning Mankell,2001,Dtv
037570387X,The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith,2003,Vintage Books USA
1559029838,Call of the Wild,Jack London,0,Selldowns/no More Orders
8477204055,El caballero de la armadura oxidada,Robert Fisher,2000,Obelisco
051512317X,Rising Tides,Nora Roberts,2001,Jove Books
8806143042,Almost blue (Stile libero),Carlo Lucarelli,1997,Einaudi
3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
052594527X,Girl With a Pearl Earring,Tracy Chevalier,1999,Dutton Books
3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
059045367X,"Monster Blood (Goosebumps, No 3)",R. L. Stine,1995,Scholastic
039914210X,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997,Putnam Pub Group
3492225926,Das WÃ?Â¼ten der ganzen Welt.,Maarten 't Hart,1999,Piper
3442541751,Russendisko.,Wladimir Kaminer,2002,Goldmann
3423202947,Hunde von Riga.,Henning Mankell,2000,Dtv
044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,1976,Yearling
3453025423,Roter Drache,Robert Harris,2002,Distribooks Inc
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications
038533348X,Cat's Cradle,Kurt Vonnegut,1998,Delta
1558746161,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998,HCI Teens
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,Bantam Books
1573226106,Kitchen Table Wisdom: Stories That Heal,Rachel Naomi Remen,1997,Riverhead Books
1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,Vintage
074325547X,Plan of Attack,Bob Woodward,2004,Simon &amp; Schuster
1573222453,The Kite Runner (Alex Awards (Awards)),Khaled Hosseini,2003,Riverhead Books
1853811262,Cats Eye,Margaret Atwood,1995,Trafalgar Square
037541309X,Balzac and the Little Chinese Seamstress,Dai Sijie,2001,Alfred A. Knopf
038549565X,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,HAMPTON SIDES,2002,Anchor
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial
044652087X,My Sergei: A Love Story,Ekaterina Gordeeva,1996,Warner Books
1878424424,The Mastery of Love: A Practical Guide to the Art of Relationship: A Toltec Wisdom Book,Miguel Ruiz,1999,Amber-Allen Publishing
3442442354,Der Strand,Alex Garland,2000,"Wilhelm Goldmann Verlag, GmbH"
2070388905,Comme un roman,Daniel Pennac,1995,Gallimard
044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision
1551666839,Dead Run,Erica Spindler,2003,Mira
002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993,Scribner
044661193X,Basket Case,Carl Hiaasen,2003,Warner Books
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
067150987X,Winter's Tale,Mark Helprin,1984,Pocket
039480001X,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers
1857022424,Shipping News,E Annie Proulx,0,Fourth Estate
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
038072975X,Midnight Champagne : A Novel (Mysteries &amp; Horror),A. Manette Ansay,2000,Perennial
014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983,Penguin Books
1853260401,Three Musketeers (Wordsworth Classics),Alexandre Dumas,1997,NTC/Contemporary Publishing Company
8472236552,UN Viejo Que Leia Novelas De Amor/the Old Men Who Read Love Stories (ColecciÃ³n Andanzas),Luis Sepulveda,1993,Tusquets Editores
3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
345305136X,Das Schweigen der LÃ?Â¤mmer.,Thomas Harris,1991,Heyne
006109157X,Dead Eyes,Stuart Woods,1994,HarperTorch
185326041X,The Great Gatsby,F. Scott Fitzgerald,1999,Lb May &amp; Assoc Inc
042518336X,American Fuji,Sara Backer,2002,Berkley Publishing Group
059045899X,Amber Brown Is Not a Crayon (Amber Brown (Paperback)),Paula Danziger,1995,Jump at the Sun
1551669307,A Gift To Last,Debbie Macomber,2002,Mira
081296683X,Girls' Poker Night: A Novel,Jill Davis,2003,Random House Trade
1558747109,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,1999,Health Communications
8495618605,El Codigo Da Vinci / The Da Vinci Code,Dan Brown,2003,Ediciones Urano
067988288X,Wild Magic (Immortals (Paperback)),TAMORA PIERCE,1997,Random House Books for Young Readers
074343627X,Dreamcatcher,Stephen King,2001,Pocket
039914465X,Southern Cross,Patricia Daniels Cornwell,1999,Putnam Pub Group
067102423X,Bag of Bones,Stephen King,1999,Pocket
014004387X,Fifth business,Robertson Davies,1977,Penguin Books
060980619X,God Save the Sweet Potato Queens,JILL CONNER BROWNE,2001,Three Rivers Press
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books
1841952974,I'm Not Scared,Niccolo Ammaniti,2003,Canongate Books
059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1573225517,High Fidelity,Nick Hornby,1996,Riverhead Books
1550548913,How to Be a Canadian: Even If You Already are One,Will Ferguson,2003,Douglas &amp; McIntyre
034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
068487217X,Angelas Ashes: A Memoir,Frank McCourt,1999,Scribner
1573228281,A Gesture Life,Chang-Rae Lee,2000,Riverhead Books
8433969978,El Libro de Las Ilusiones,Paul Auster,2003,Anagrama
950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta
051512608X,The Reef,Nora Roberts,1999,Jove Books
067088300X,The Girls' Guide to Hunting and Fishing,Melissa Bank,1999,Viking Books
1551668912,Thursday'S At Eight,Debbie Macomber,2002,Mira
042515601X,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group
038081658X,The Fresco,Sheri S. Tepper,2002,Eos
042518627X,Mister Posterior and the Genius Child,Emily Jenkins,2002,Berkley Publishing Group
1400060052,"Lucia, Lucia : A Novel",ADRIANA TRIGIANI,2003,Random House
1570613818,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,2003,Sasquatch Books
048627263X,Flatland: A Romance of Many Dimensions (Dover Thrift Editions),Edwin A. Abbott,1992,Dover Publications
038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial
3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper
031205436X,Generation X: Tales for an Accelerated Culture,Douglas Coupland,1992,St. Martin's Press
1573226521,The Beach,Alex Garland,1998,Riverhead Books
1573226882,Fever Pitch,Nick Hornby,1998,Riverhead Books
1573228214,High Fidelity,Nick Hornby,2000,Riverhead Books
8408043641,La Sombra Del Viento/The Shadow Of The Wind,Carlos Ruiz Zafon,2003,Planeta Pub Corp
068480087X,POSTCARDS,Annie Proulx,1994,Scribner
006000438X,The Death of Vishnu: A Novel,Manil Suri,2002,Perennial
1931561648,The Time Traveler's Wife (Today Show Book Club #15),Audrey Niffenegger,2003,MacAdam/Cage Publishing
1576737330,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce Wilkinson,2000,Multnomah
076534128X,Rebekah (Women of Genesis),Orson Scott Card,2002,Forge Books
006098726X,Stupid White Men : ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,2004,Regan Books
014027944X,Armadillo,William Boyd,0,Penguin Putnam~trade
1573227331,About a Boy,Nick Hornby,1999,Riverhead Books
080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books
1551668653,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira
038079960X,The Mermaids Singing,Lisa Carey,1999,Avon
074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
3257229364,Endstation Venedig. Commissario Brunettis zweiter Fall.,Donna Leon,1996,Diogenes Verlag
325722575X,Der Hahn ist tot. Roman.,Ingrid Noll,1993,Diogenes Verlag
3442413338,"Lauf, Jane, lauf. Roman.",Joy Fielding,1992,Goldmann
055327886X,Rubyfruit Jungle,Rita Mae Brown,1983,Bantam Books
014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books
2070408507,Le Petit Prince,Antoine de Saint-ExupÃ©ry,1999,Gallimard
031286504X,I Am Legend,Richard Matheson,1997,Orb Books
1551666014,Tomorrow's Promise: Can the Heart Let Go of Yesterday?,Sandra Brown,2000,Mira
034540761X,The Final Judgment,Richard North Patterson,1997,Ballantine Books
1844261085,A Book Without Covers,John Andrew Storey,2003,Upfront Publishing
8817131628,Garzanti - Gli Elefanti: Gabbiano Jonathan Livingston,Bach,0,Rizzoli - RCS Libri
038078520X,Wed and Buried (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1998,Avon
8817106259,Seta,Alessandro Baricco,0,Rizzoli - RCS Libri
884590184X,Siddharta Romanzo Versione Di M Mila,Hermann Hesse,0,Adelphi Book Shop Ltd
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA
006093090X,The Night Listener : A Novel,Armistead Maupin,2001,Perennial
038533494X,Sometimes I Dream in Italian,Rita Ciresi,2001,Delta
2070419657,Soie,Alessandro Baricco,2001,Gallimard
061810450X,The Wind Done Gone: A Novel,Alice Randall,2001,Houghton Mifflin
038070613X,Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead,1990,Avon
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor
1575665379,The 10th Kingdom (Hallmark Entertainment Books),Kathryn Wesley,2000,Kensington Publishing Corporation
044023672X,Answered Prayers,DANIELLE STEEL,2003,Dell
1573229083,My Dream of You,Nuala O'Faolain,2002,Riverhead Books
034540047X,The Hotel New Hampshire,John Irving,1995,Ballantine Books
1551668998,Beach House,Mary Alice Monroe,2002,Mira
042516828X,Sudden Mischief,Robert B. Parker,1999,Berkley Publishing Group
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books
1577311523,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1999,New World Library
1882723007,Embraced by the Light,Betty J. Eadie,1992,Gold Leaf Press (MI)
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group
034530988X,Friday,Robert Heinlein,1988,Del Rey Books
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
014038572X,The Outsiders (Now in Speak!),S. E. Hinton,1997,Puffin Books
202025462X,Hygiene De Lassassin,Amelie Nothomb,2002,European Book Co
2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
3426600218,Dinopark/Jurassic Park,Michael Crichton,1994,Distribooks Inc
1558506462,Small Miracles: Extraordinary Coincidences from Everyday Life,Yitta Halberstam,1997,Adams Media Corporation
8885989403,Va' dove ti porta il cuore (Romanzi e racconti),Susanna Tamaro,1994,Baldini &amp; Castoldi
055321277X,Dr. Jekyll and Mr. Hyde (Bantam Classics),ROBERT LOUIS STEVENSON,1982,Bantam
042516876X,Range of Motion,Elizabeth Berg,2000,Berkley Publishing Group
1551667509,Haunted,Heather Graham,2003,Mira
880781000X,La Casa Degli Spiriti,Isabel Allende,1995,Feltrinelli
1551667371,Thicker Than Water,Maggie Shayne,2003,Mira Books
1551667398,The Bad Witness,Laura Van Wormer,2003,Mira Books
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001,Collectors Press
8804342838,Due di due (Bestsellers),Andrea De Carlo,1991,A. Mondadori
014034991X,Westing Game,Ellen Raskin,1992,Puffin Books
067100767X,Rain,V.C. Andrews,2000,Pocket Books
067945960X,Monster: A Novel,Jonathan Kellerman,1999,Random House Inc
067179356X,In the Name of Love : Ann Rule's Crime Files Volume 4 (Ann Rule's Crime Files),Ann Rule,1998,Pocket
1551669498,Girls Night,Stef Ann Holm,2002,Mira
1400041414,The Murder Room,P.D. JAMES,2003,Knopf
034544356X,"Seduced By Moonlight (Hamilton, Laurell K)",LAURELL K. HAMILTON,2004,Ballantine Books
087542791X,To Ride a Silver Broomstick: New Generation Witchcraft,Silver Ravenwolf,1993,Llewellyn Publications
038072541X,Hit Man,Lawrence Block,1999,HarperTorch
014034893X,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1991,Puffin Books
055337933X,Fierce Invalids Home from Hot Climates,TOM ROBBINS,2001,Bantam
1853260045,Great Expectations (Wordsworth Classics),Charles Dickens,1997,Wordsworth Editions Ltd
068416325X,The GREAT GATSBY (Scribner Classic),F. Scott Fitzgerald,1979,Scribner Paper Fiction
3746614007,Die PÃ?Â¤pstin.,Donna Woolfolk Cross,1998,Aufbau Tb
3596215226,Schachnovelle,Stefan Zweig,0,Fischer Taschenbuch Verlag
042513699X,Turtle Moon,Alice Hoffman,1993,Berkley Publishing Group
015602943X,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,2004,Harvest Books
037570485X,The Inn at Lake Devine,Elinor Lipman,1999,Random House
014012389X,Love in the Time of Cholera,Gabriel Garcia Marquez,1998,Penguin Books Ltd
042516019X,Masquerade,Gayle Lynds,1997,Berkley Publishing Group
042513024X,The A.B.C. Murders,Agatha Christie,1993,Berkley Publishing Group
1400031362,Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
044020352X,Anguished English: An Anthology of Accidental Assaults Upon Our Language,RICHARD LEDERER,1989,Laurel
1853260150,Picture of Dorian Gray (Wordsworth Classics),Oscar Wilde,1997,NTC/Contemporary Publishing Company
038073186X,Shutter Island,Dennis Lehane,2004,HarperTorch
155874424X,Chicken Soup for the Soul at Work (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
1565122968,Gap Creek: A Novel,Robert Morgan,2000,Algonquin Books of Chapel Hill
034543479X,A Widow for One Year,JOHN IRVING,2001,Fawcett
1853262714,Anna Karenina (Wordsworth Classics),Leo Tolstoy,1997,NTC/Contemporary Publishing Company
044021873X,Windy City Blues (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1996,Dell
1555910807,Biblioholism: The Literary Addiction,Tom Raabe,1991,Fulcrum Publishing
042514545X,Fool's Puzzle,Earlene Fowler,1995,Berkley Publishing Group
8495501090,El ocho,Katherine Neville,2001,Punto de Lectura
8495501198,Memorias de una geisha,Arthur Golden,2001,Suma de Letras
8433925180,El Antropologo Inocente,Nigel Barley,1998,Anagrama
8483101610,"Soldados De Salamina (Coleccion Andanzas, 433)",Javier Cercas,2001,Tusquets
1566840287,The Christmas Box (Christmas Box Trilogy),Richard Paul Evans,1993,Pubs Wholesale
1400031346,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK)
051511264X,Prime Witness,Steven Paul Martini,1994,Jove Books
067940712X,One True Thing,Anna Quindlen,1994,Random House Inc
038081093X,Excavation,James Rollins,2000,HarperTorch
044166251X,"Phule's Company (Phule's Company, No 1)",Robert Asprin,1990,Ace Books
1853260010,Wuthering Heights (Wordsworth Classics),Emily Bronte,1997,NTC/Contemporary Publishing Company
1853260002,Pride &amp; Prejudice (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company
067978148X,The Rules of Attraction,Bret Easton Ellis,1998,Vintage Books USA
1551667479,The Other Twin,Katherine Stone,2003,Mira
039915079X,The Teeth of the Tiger,Tom Clancy,2003,G. P. Putnam's Sons
031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
